character,dialog,seasons
Stewie," Damn you, vile woman! Youve impeded my work since the day I escaped from your wretched womb.",season 1
Stewie," Hello, Mother.",season 1
Lois," Well, hi, there, sweetie!",season 1
Stewie," You know, Mother, life is like a box of chocolates  You never know what youre going to get. Your life, however, is more like a box of active grenades!",season 1
Stewie," Now, I offer you one last chance for deliverance",season 1
Lois," Oh, you just want your toy back. OK, here you go, honey. Lois places the mindcontrol device on top of the box of grenades",season 1
Stewie," Yes, well, victory is mine! Stewie runs out of the kitchen carrying the grenades and the mindcontrol device; a moment later, the grenades detonate",season 1
Stewie, playing with his Sesame Street phone Put me through to the Pentagon!,season 1
Stewie," Dont toy with me, Ernie! Ive already dispatched with Mr. Hooper, Ive got six armed men stationed outside Big Birds nest, and as for Linda... well its rather difficult for a deaf woman to hear an assassin approach, now, isnt it?",season 1
Stewie," Hoho, indeed I can! pulls out a laser gun and shoots the phone with each number ONE! TWO! THREE! Can I count to three? For Gods sake, Im already shooting at a fifthgrade level.Lois tries to feed Stewie his broccoli ""airplane style.""",season 1
Stewie," Damn the broccoli, damn you, and damn the Wright Brothers!",season 1
Lois," My, arent we fussy tonight? OK. No broccoli.",season 1
Stewie, Very well then. ILois shoves the broccoli into his mouth. Stewie spits it out. Who the hell do you think you are?,season 1
Lois," Honey, its not gonna go away just because you dont like it.",season 1
Stewie," Well then, my goal becomes clear",season 1
Stewie," in his diary Day 171. Ive sprouted another finger. Counting the one from yesterday, looks at his penis, Im up to 11.",season 1
Peter," after losing his Cheesy Charlies reservation Chris, this is a big day for you. Today you become the man of the house, because when we get home, your mother is going to kill me.",season 1
Stewie," Damn you, woman, awake from your damnable reverie!",season 1
Lois," sighs Honey, Im doing the dishes.",season 1
Stewie," sarcastically Oh, well, a thousand pardons for disrupting your flatware sanitation ritual, but, you see, Im in searing pain! points to his mouth",season 1
Lois," Oh, youre just teething, Stewie, its a normal part of a babys life.",season 1
Stewie, Very well then. I order you to kill me at once!,season 1
Lois," Oh honey, I know youre hurting, but Mommy has to clean up the house, all right?",season 1
Stewie," No, its not all right! For the love of God, shake me, shake me like a British Nanny!",season 1
Peter, I cant even watch TV anymore. All the shows are starting to run together.,season 1
Brian," Gosh, Id like to help you, Peter, but uh, Ive gotta go out in the hall and chew on the back of my ass for about five minutes.",season 1
Meg," So, do you like music?",season 1
Meg," Uh, you first.",season 1
Peter," Look, Chris. Its a whole family of wasps.",season 1
Peter, Canada sucks! Peter has a flashback of when he was on Jeopardy!,season 1
Peter, rings in Diarrhea. the crowd laughs What? Oh. Oh. Oh. Sorry. Sorry. What is diarrhea? after seeing the news about the heat wave,season 1
Chris, about Diane I think I saw one of her nipples!,season 1
Lois," Chris, thats a terrible word! sarcastically ""Nipple"". Ill chalk that up to the heat, mister.",season 1
